timestep,2030NEPC
1,50.43
2,50.4
3,48.89
4,48.68
5,48.68
6,48.68
7,48.68
8,48.68
9,48.68
10,48.68
11,48.68
12,48.68
13,48.68
14,48.89
15,50.4
16,50.43
17,53.6
18,55.55
19,55.26
20,53.6
21,53.6
22,53.6
23,51.99
24,51.96
25,50.43
26,50.43
27,50.43
28,50.43
29,51.96
30,51.96
31,51.99
32,52.27
33,53.6
34,53.6
35,51.99
36,51.99
37,50.43
38,51.99
39,56.53
40,57.27
41,60.86
42,60.86
43,60.86
44,60.86
45,60.08
46,59.29
47,59.04
48,58.28
49,57.27
50,57.27
51,58.28
52,59.04
53,60.86
54,68.56
55,68.56
56,68.56
57,68.56
58,68.56
59,68.56
60,68.56
61,68.56
62,68.56
63,68.56
64,68.56
65,68.56
66,68.56
67,68.56
68,68.56
69,68.56
70,68.56
71,66.5
72,60.86
73,59.29
74,59.04
75,59.04
76,59.04
77,60.86
78,66.5
79,68.56
80,68.56
81,68.56
82,68.56
83,60.86
84,60.86
85,60.86
86,66.5
87,68.56
88,68.56
89,68.56
90,68.56
91,68.56
92,68.56
93,63.02
94,60.86
95,58.28
96,57.27
97,56.53
98,56.53
99,56.53
100,56.53
101,57.27
102,59.04
103,66.5
104,66.5
105,60.86
106,59.04
107,58.28
108,57.27
109,57.27
110,58.28
111,59.29
112,60.86
113,64.51
114,60.86
115,59.04
116,58.28
117,55.55
118,53.6
119,50.43
120,50.43
121,50.43
122,50.43
123,50.43
124,50.43
125,50.43
126,51.99
127,57.27
128,57.27
129,57.27
130,57.27
131,57.27
132,57.27
133,55.79
134,57.27
135,58.28
136,59.04
137,59.33
138,59.33
139,59.04
140,57.27
141,53.6
142,51.99
143,50.43
144,50.43
145,50.4
146,50.4
147,50.43
148,50.43
149,51.99
150,59.04
151,60.86
152,60.86
153,60.86
154,60.86
155,60.86
156,60.86
157,60.86
158,60.86
159,60.86
160,60.86
161,60.86
162,60.86
163,59.04
164,57.52
165,51.99
166,51.99
167,50.43
168,50.4
169,50.4
170,50.4
171,48.89
172,47.65
173,47.65
174,47.65
175,47.65
176,48.89
177,47.65
178,47.65
179,47.65
180,47.65
181,47.65
182,47.65
183,47.65
184,47.65
185,48.89
186,48.92
187,47.65
188,47.65
189,47.65
190,47.65
191,47.65
192,47.65
193,47.65
194,47.65
195,47.65
196,47.65
197,47.65
198,47.65
199,47.65
200,47.65
201,50.4
202,50.4
203,50.4
204,50.4
205,50.4
206,50.43
207,51.99
208,55.55
209,58.28
210,59.04
211,59.04
212,58.28
213,57.27
